Playerid,Name,Age,Nationality,Overall,Potential,Club,Value,Wage
0,C. Ronaldo,32,Portugal,94,94,Real Madrid CF,95500000,565000
1,L. Messi,30,Argentina,93,93,FC Barcelona,105000000,
2,Neymar,25,Brazil,92,94,Paris Saint-Germain,123000000,285000
3,L. Suarez,30,Uruguay,92,92,FC Barcelona,97000000,565000
4,M. Neuer,31,Germany,92,92,FC Bayern Munich,61000000,235000
5,R. Lewandowski,28,Poland,91,91,FC Bayern Munich,92000000,370000
6,De Gea,26,Spain,90,92,Manchester United,64500000,215000
7,E. Hazard,26,Belgium,90,91,Chelsea,90500000,295000
8,T. Kroos,27,Germany,90,90,Real Madrid CF,79000000,340000
9,G. Higuaaen,29,Argentina,90,90,Juventus,77000000,275000
10,Sergio Ramos,31,Spain,90,90,Real Madrid CF,52000000,325000
11,K. De Bruyne,26,Belgium,89,92,Manchester City,83000000,295000
12,T. Courtois,25,Belgium,89,92,Chelsea,59000000,190000
13,A. Sanchez,28,Chile,89,89,Arsenal,67500000,265000
14,L. Modric,31,Croatia,89,89,Real Madrid CF,57000000,355000
15,G. Bale,27,Wales,89,89,Real Madrid CF,69500000,510000
16,S. Aguero,29,Argentina,89,89,Manchester City,66500000,340000
17,G. Chiellini,32,Italy,89,89,Juventus,38000000,225000
18,G. Buffon,39,Italy,89,89,Juventus,4500000,110000
19,P. Dybala,23,Argentina,88,93,Juventus,79000000,215000
20,J. Oblak,24,Slovenia,88,93,Atlatico Madrid,57000000,82000
21,A. Griezmann,26,France,88,91,Atlatico Madrid,75000000,150000
22,Thiago,26,Spain,88,90,FC Bayern Munich,70500000,225000
23,P. Aubameyang,28,Gabon,88,88,Borussia Dortmund,61000000,165000
24,L. Bonucci,30,Italy,88,88,Milan,44000000,210000
25,J. Boateng,28,Germany,88,88,FC Bayern Munich,48000000,215000
26,D. Godin,31,Uruguay,88,88,Atlatico Madrid,40000000,125000
27,M. Hummels,28,Germany,88,88,FC Bayern Munich,48000000,215000
28,M. Azil,28,Germany,88,88,Arsenal,60000000,275000
29,H. Lloris,30,France,88,88,Tottenham Hotspur,38000000,165000
30,Thiago Silva,32,Brazil,88,88,Paris Saint-Germain,34000000,175000
31,Z. Ibrahimovia,35,Sweden,88,88,Manchester United,27000000,240000
32,A. Robben,33,Netherlands,88,88,FC Bayern Munich,36000000,230000
33,N. Kanta,26,France,87,90,Chelsea,52500000,190000
34,M. Verratti,24,Italy,87,91,Paris Saint-Germain,64500000,130000
35,P. Pogba,24,France,87,92,Manchester United,66500000,195000
36,C. Eriksen,25,Denmark,87,91,Tottenham Hotspur,65000000,165000
37,A. Vidal,30,Chile,87,87,FC Bayern Munich,37500000,160000
38,E. Cavani,30,Uruguay,87,87,Paris Saint-Germain,48500000,160000
39,Marcelo,29,Brazil,87,87,Real Madrid CF,38000000,250000
40,M. Hamsaek,29,Slovakia,87,87,Napoli,48500000,130000
41,I. Rakitic,29,Croatia,87,87,FC Barcelona,48500000,280000
42,David Silva,31,Spain,87,87,Manchester City,44000000,225000
43,S. Handanovic,32,Slovenia,87,87,Inter,29000000,91000
44,Piqua,30,Spain,87,87,FC Barcelona,37500000,250000
45,Iniesta,33,Spain,87,87,FC Barcelona,29500000,265000
46,H. Kane,23,England,86,90,Tottenham Hotspur,59000000,165000
47,J. Rodraeguez,25,Colombia,86,89,FC Bayern Munich,56000000,250000
48,Isco,25,Spain,86,90,Real Madrid CF,56500000,250000
49,D. Alaba,25,Austria,86,88,FC Bayern Munich,44500000,150000
50,R. Lukaku,24,Belgium,86,90,Manchester United,59000000,210000
51,Alex Sandro,26,Brazil,86,88,Juventus,44000000,175000
52,T. Maeller,27,Germany,86,86,FC Bayern Munich,47500000,190000
53,Sergio Busquets,28,Spain,86,86,FC Barcelona,36000000,260000
54,Coutinho,25,Brazil,86,89,Liverpool,56000000,210000
55,M. Reus,28,Germany,86,86,Borussia Dortmund,45000000,120000
56,T. Alderweireld,28,Belgium,86,87,Tottenham Hotspur,40500000,165000
57,David Luiz,30,Brazil,86,86,Chelsea,33000000,190000
